name,japanese_name_romanji,japanese_name_kana,number,prop. male,prop. female,classification,type1,type2,height_in,height_m,weight_lbs,weight_kg,hit_points,attack,defense,sp_att,sp_def,speed,effort_values,wk_normal,wk_fire,wk_water,wk_electric,wk_grass,wk_ice,wk_fighting,wk_poison,wk_ground,wk_flying,wk_psychic,wk_bug,wk_rock,wk_ghost,wk_dragon,wk_dark,wk_steel,wk_fairy
,,,#034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clefairy,Pippi,ピッピ,#035,25,75,Fairy Pokémon,Fairy,,24,0.6,16.5,7.5,70,45,48,60,65,35,2 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
Clefable,Pixy,ピクシー,#036,25,75,Fairy Pokémon,Fairy,,51,1.3,88.2,40.0,95,70,73,95,90,60,3 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
Vulpix,Rokon,ロコン,#037,25,75,Fox Pokémon,Fire,Ice,24,0.6,21.8,9.9,38,41,40,50,65,65,1 Speed Point(s)Alola Form1 Speed Point(s),1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
Ninetales,Kyukon,キュウコン,#038,25,75,Fox Pokémon,Fire,Ice,43,1.1,43.9,19.9,73,76,75,81,100,100,1 Speed Point(s)1 Sp. Defense Point(s)Alola Form2 Speed Point(s),1.0,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,0.5,4.0,1.0
Jigglypuff,Purin,プリン,#039,25,75,Balloon Pokémon,Normal,Fairy,20,0.5,12.1,5.5,115,45,20,45,25,20,2 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
Wigglytuff,Pukurin,プクリン,#040,25,75,Balloon Pokémon,Normal,Fairy,39,1.0,26.5,12.0,140,70,45,85,50,45,3 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
,,,#041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oddish,Nazonokusa,ナゾノクサ,#043,50,50,Weed Pokémon,Grass,Poison,20,0.5,11.9,5.4,45,50,55,75,65,30,1 Sp. Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Gloom,Kusaihana,クサイハナ,#044,50,50,Weed Pokémon,Grass,Poison,31,0.8,19.0,8.6,60,65,70,85,75,40,2 Sp. Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Vileplume,Ruffresia,ラフレシア,#045,50,50,Flower Pokémon,Grass,Poison,47,1.2,41.0,18.6,75,80,85,110,90,50,3 Sp. Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
,,,#046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venonat,Kongpang,コンパン,#048,50,50,Insect Pokémon,Bug,Poison,39,1.0,66.1,30.0,60,55,50,40,55,45,1 Sp. Defense Point(s),1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Venomoth,Morphon,モルフォン,#049,50,50,Poison Moth Pokémon,Bug,Poison,59,1.5,27.6,12.5,70,65,60,90,75,90,1 Speed Point(s)1 Sp. Attack Point(s),1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Diglett,Digda,ディグダ,#050,50,50,Mole Pokémon,Ground,Ground,8,0.2,1.8,0.8,10,55,25,35,45,95,1 Speed Point(s)Alola Form1 Speed Point(s),0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
Dugtrio,Dugtrio,ダグトリオ,#051,50,50,Mole Pokémon,Ground,Ground,28,0.7,73.4,33.3,35,100,50,50,70,120,2 Speed Point(s)Alola Form2 Attack Point(s),0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
Meowth,Nyarth,ニャース,#052,50,50,Scratch Cat Pokémon,Normal,Dark,16,0.4,9.3,4.2,40,45,35,40,40,90,1 Speed Point(s)Alola Form1 Speed Point(s)Galarian Form1 Attack Point(s),0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
Persian,Persian,ペルシアン,#053,50,50,Classy Cat Pokémon,Normal,Dark,39,1.0,70.5,32.0,65,70,60,65,65,115,2 Speed Point(s)Alola Form2 Speed Point(s),1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Psyduck,Koduck,コダック,#054,50,50,Duck Pokémon,Water,,31,0.8,43.2,19.6,50,52,48,65,50,55,1 Sp. Attack Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Golduck,Golduck,ゴルダック,#055,50,50,Duck Pokémon,Water,,67,1.7,168.9,76.6,80,82,78,95,80,85,2 Sp. Attack Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Mankey,Mankey,マンキー,#056,50,50,Pig Monkey Pokémon,Fighting,,20,0.5,61.7,28.0,40,80,35,35,45,70,1 Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Primeape,Okorizaru,オコリザル,#057,50,50,Pig Monkey Pokémon,Fighting,,39,1.0,70.5,32.0,65,105,60,60,70,95,2 Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Growlithe,Gardie,ガーディ,#058,75,25,Puppy Pokémon (Kantonian)Scout Pokémon (Hisuian),Fire,Fire,28,0.7,41.9,19.0,55,70,45,70,50,60,1 Attack Point(s)Hisuian Form1 Attack Point(s),0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Arcanine,Windie,ウインディ,#059,75,25,Legendary Pokémon,Fire,Fire,75,1.9,341.7,155.0,90,110,80,100,80,95,2 Attack Point(s)Hisuian Form2 Attack Point(s),0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Poliwag,Nyoromo,ニョロモ,#060,50,50,Tadpole Pokémon,Water,,24,0.6,27.3,12.4,40,50,40,40,40,90,1 Speed Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Poliwhirl,Nyorozo,ニョロゾ,#061,50,50,Tadpole Pokémon,Water,,39,1.0,44.1,20.0,65,65,65,50,50,90,2 Speed Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Poliwrath,Nyorobon,ニョロボン,#062,50,50,Tadpole Pokémon,Water,Fighting,51,1.3,119.0,54.0,90,95,95,70,90,70,3 Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
,,,#063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellsprout,Madatsubomi,マダツボミ,#069,50,50,Flower Pokémon,Grass,Poison,28,0.7,8.8,4.0,50,75,35,70,30,40,1 Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Weepinbell,Utsudon,ウツドン,#070,50,50,Flycatcher Pokémon,Grass,Poison,39,1.0,14.1,6.4,65,90,50,85,45,55,2 Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Victreebel,Utsubot,ウツボット,#071,50,50,Flycatcher Pokémon,Grass,Poison,67,1.7,34.2,15.5,80,105,65,100,70,70,3 Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Tentacool,Menokurage,メノクラゲ,#072,50,50,Jellyfish Pokémon,Water,Poison,35,0.9,100.3,45.5,40,40,35,50,100,70,1 Sp. Defense Point(s),1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Tentacruel,Dokukurage,ドククラゲ,#073,50,50,Jellyfish Pokémon,Water,Poison,63,1.6,121.3,55.0,80,70,65,80,120,100,2 Sp. Defense Point(s),1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Geodude,Isitsubute,イシツブテ,#074,50,50,Rock Pokémon,Rock,Ground,16,0.4,44.1,20.0,40,80,100,30,30,20,1 Defense Point(s)Alola Form1 Defense Point(s),0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Graveler,Golone,ゴローン,#075,50,50,Rock Pokémon,Rock,Ground,39,1.0,231.5,105.0,55,95,115,45,45,35,2 Defense Point(s)Alola Form2 Defense Point(s),0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Golem,Golonya,ゴローニャ,#076,50,50,Megaton Pokémon,Rock,Ground,55,1.4,661.4,300.0,80,120,130,55,65,45,3 Defense Point(s)Alola Form3 Defense Point(s),0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,#077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowpoke,Yadon,ヤドン,#079,50,50,Dopey Pokémon,Water,Psychic,47,1.2,79.4,36.0,90,65,65,40,40,15,1 HP Point(s)Galarian Form1 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Slowbro,Yadoran,ヤドラン,#080,50,50,Hermit Crab Pokémon,Water,Psychic,63,1.6,173.1,78.5,95,75,110,100,80,30,2 Defense Point(s)Galarian Form2 Attack Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5
Magnemite,Coil,コイル,#081,,,Magnet Pokémon,Electric,Steel,12,0.3,13.2,6.0,25,35,70,95,55,45,1 Sp. Attack Point(s),0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
Magneton,Rarecoil,レアコイル,#082,,,Magnet Pokémon,Electric,Steel,39,1.0,132.3,60.0,50,60,95,120,70,70,2 Sp. Attack Point(s),0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
,,,#083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doduo,Dodo,ドードー,#084,50,50,Twin Bird Pokémon,Normal,Flying,55,1.4,86.4,39.2,35,85,45,35,35,75,1 Attack Point(s),1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Dodrio,Dodorio,ドードリオ,#085,50,50,Triple Bird Pokémon,Normal,Flying,71,1.8,187.8,85.2,60,110,70,60,60,110,2 Attack Point(s),1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Seel,Pawou,パウワウ,#086,50,50,Sea Lion Pokémon,Water,,43,1.1,198.4,90.0,65,45,55,45,70,45,1 Sp. Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Dewgong,Jugon,ジュゴン,#087,50,50,Sea Lion Pokémon,Water,Ice,67,1.7,264.6,120.0,90,70,80,70,95,70,2 Sp. Defense Point(s),1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Grimer,Betbeter,ベトベター,#088,50,50,Sludge Pokémon,Poison,Poison,35,0.9,66.1,30.0,80,80,50,40,50,25,1 HP Point(s)Alola Form1 HP Point(s),1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
Muk,Betbeton,ベトベトン,#089,50,50,Sludge Pokémon,Poison,Poison,47,1.2,66.1,30.0,105,105,75,65,100,50,1 HP Point(s)1 Attack Point(s)Alola Form1 HP Point(s)1 Attack Point(s),1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
Shellder,Shellder,シェルダー,#090,50,50,Bivalve Pokémon,Water,,12,0.3,8.8,4.0,30,65,100,45,25,40,1 Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Cloyster,Parshen,パルシェン,#091,50,50,Bivalve Pokémon,Water,Ice,59,1.5,292.1,132.5,50,95,180,85,45,70,2 Defense Point(s),1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Gastly,Ghos,ゴース,#092,50,50,Gas Pokémon,Ghost,Poison,51,1.3,0.2,0.1,30,35,30,100,35,80,1 Sp. Attack Point(s),0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
Haunter,Ghost,ゴースト,#093,50,50,Gas Pokémon,Ghost,Poison,63,1.6,0.2,0.1,45,50,45,115,55,95,2 Sp. Attack Point(s),0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
Gengar,Gangar,ゲンガー,#094,50,50,Shadow Pokémon,Ghost,Poison,59,1.5,89.3,40.5,60,65,60,130,75,110,3 Sp. Attack Point(s),0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
,,,#095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowzee,Sleepe,スリープ,#096,50,50,Hypnosis Pokémon,Psychic,,39,1.0,71.4,32.4,60,48,45,43,90,42,1 Sp. Defense Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Hypno,Sleeper,スリーパー,#097,50,50,Hypnosis Pokémon,Psychic,,63,1.6,166.7,75.6,85,73,70,73,115,67,2 Sp. Defense Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
,,,#098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltorb,Biriridama,ビリリダマ,#100,,,Ball Pokémon (Kantonian)Sphere Pokémon (Hisuian),Electric,Electric,20,0.5,22.9,10.4,40,30,50,55,55,100,1 Speed Point(s)Hisuian Form1 Speed Point(s),1.0,2.0,0.5,0.25,0.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
Electrode,Marumine,マルマイン,#101,,,Ball Pokémon (Kantonian)Sphere Pokémon (Hisuian),Electric,Electric,47,1.2,146.8,66.6,60,50,70,80,80,150,2 Speed Point(s)Hisuian Form2 Speed Point(s),1.0,2.0,0.5,0.25,0.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
Exeggcute,Tamatama,タマタマ,#102,50,50,Egg Pokémon,Grass,Psychic,16,0.4,5.5,2.5,60,40,80,60,45,40,1 Defense Point(s),1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
Exeggutor,Nassy,ナッシー,#103,50,50,Coconut Pokémon,Grass,Psychic,79,2.0,264.6,120.0,95,95,85,125,75,55,2 Sp. Attack Point(s)Alola Form2 Sp. Attack Point(s),1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
,,,#104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitmonlee,Sawamular,サワムラー,#106,100,0,Kicking Pokémon,Fighting,,59,1.5,109.8,49.8,50,120,53,35,110,87,2 Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Hitmonchan,Ebiwalar,エビワラー,#107,100,0,Punching Pokémon,Fighting,,55,1.4,110.7,50.2,50,105,79,35,110,76,2 Sp. Defense Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
,,,#108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koffing,Dogars,ドガース,#109,50,50,Poison Gas Pokémon,Poison,,24,0.6,2.2,1.0,40,65,95,60,45,35,1 Defense Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Weezing,Matadogas,マタドガス,#110,50,50,Poison Gas Pokémon,Poison,Poison,47,1.2,20.9,9.5,65,90,120,85,70,60,2 Defense Point(s)Galarian Form2 Defense Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.5,2.0,0.5
Rhyhorn,Sihorn,サイホーン,#111,50,50,Spikes Pokémon,Ground,Rock,39,1.0,253.5,115.0,80,85,95,30,30,25,1 Defense Point(s),0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
Rhydon,Sidon,サイドン,#112,50,50,Drill Pokémon,Ground,Rock,75,1.9,264.6,120.0,105,130,120,45,45,40,2 Attack Point(s),0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
Chansey,Lucky,ラッキー,#113,0,100,Egg Pokémon,Normal,,43,1.1,76.3,34.6,250,5,5,35,105,50,2 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,,#114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
