name,japanese_name_romanji,japanese_name_kana,number,prop. male,prop. female,classification,type1,type2,height_in,height_m,weight_lbs,weight_kg,hit_points,attack,defense,sp_att,sp_def,speed,effort_values,wk_normal,wk_fire,wk_water,wk_electric,wk_grass,wk_ice,wk_fighting,wk_poison,wk_ground,wk_flying,wk_psychic,wk_bug,wk_rock,wk_ghost,wk_dragon,wk_dark,wk_steel,wk_fairy
Butterfree,Butterfree,バタフリー,#012,2,8,Butterfly Pokémon,Bug,Flying,43,1.1,70.5,32.0,60,45,50,90,80,70,2 Sp. Attack Point(s)1 Sp. Defense Point(s),1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
Weedle,Beedle,ビードル,#013,2,8,Hairy Bug Pokémon,Bug,Poison,12,0.3,7.1,3.2,40,35,30,20,20,50,1 Speed Point(s),1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Kakuna,Cocoon,コクーン,#014,2,8,Cocoon Pokémon,Bug,Poison,24,0.6,22.0,10.0,45,25,50,25,25,35,2 Defense Point(s),1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Beedrill,Spear,スピアー,#015,2,8,Poison Bee Pokémon,Bug,Poison,39,1.0,65.0,29.5,65,90,40,45,80,75,2 Attack Point(s)1 Sp. Defense Point(s),1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Pidgey,Poppo,ポッポ,#016,2,8,Tiny Bird Pokémon,Normal,Flying,12,0.3,4.0,1.8,40,45,40,35,35,56,1 Speed Point(s),1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Pidgeotto,Pigeon,ピジョン,#017,2,8,Bird Pokémon,Normal,Flying,43,1.1,66.1,30.0,63,60,55,50,50,71,2 Speed Point(s),1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Pidgeot,Pigeot,ピジョット,#018,2,8,Bird Pokémon,Normal,Flying,59,1.5,87.1,39.5,83,80,75,70,70,101,3 Speed Point(s),1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Rattata,Koratta,コラッタ,#019,2,8,Mouse Pokémon,Normal,,12,0.3,7.7,3.5,30,56,35,25,35,72,1 Speed Point(s),1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Raticate,Ratta,ラッタ,#020,2,8,Mouse Pokémon,Normal,,28,0.7,40.8,18.5,55,81,60,50,70,97,2 Speed Point(s),1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Spearow,Onisuzume,オニスズメ,#021,2,8,Tiny Bird Pokémon,Normal,Flying,12,0.3,4.4,2.0,40,60,30,31,31,70,1 Speed Point(s),1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Fearow,Onidrill,オニドリル,#022,2,8,Beak Pokémon,Normal,Flying,47,1.2,83.8,38.0,65,90,65,61,61,100,2 Speed Point(s),1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Ekans,Arbo,アーボ,#023,2,8,Snake Pokémon,Poison,,79,2.0,15.2,6.9,35,60,44,40,54,55,1 Attack Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Arbok,Arbok,アーボック,#024,2,8,Cobra Pokémon,Poison,,138,3.5,143.3,65.0,60,95,69,65,79,80,2 Attack Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Pikachu,Pikachu,ピカチュウ,#025,2,8,Mouse Pokémon,Electric,,16,0.4,13.2,6.0,35,55,40,50,50,90,2 Speed Point(s),1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Raichu,Raichu,ライチュウ,#026,2,8,Mouse Pokémon,Electric,Electric,31,0.8,66.1,30.0,60,90,55,90,80,110,3 Speed Point(s)Alola Form3 Speed Point(s),1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
Sandshrew,Sand,サンド,#027,2,8,Mouse Pokémon,Ground,Ice,24,0.6,26.5,12.0,50,75,85,20,30,40,1 Defense Point(s)Alola Form1 Defense Point(s),0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
Sandslash,Sandpan,サンドパン,#028,2,8,Mouse Pokémon,Ground,Ice,39,1.0,65.0,29.5,75,100,110,45,55,65,2 Defense Point(s)Alola Form2 Defense Point(s),0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
Nidoran♀,Nidoran?,ニドラン♀,#029,0,100,Poison Pin Pokémon,Poison,,16,0.4,15.4,7.0,55,47,52,40,40,41,1 HP Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidorina,Nidorina,ニドリーナ,#030,0,100,Poison Pin Pokémon,Poison,,31,0.8,44.1,20.0,70,62,67,55,55,56,2 HP Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidoqueen,Nidoqueen,ニドクイン,#031,0,100,Drill Pokémon,Poison,Ground,51,1.3,132.3,60.0,90,92,87,75,85,76,3 HP Point(s),1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Nidoran♂,Nidoran?,ニドラン♂,#032,100,0,Poison Pin Pokémon,Poison,,20,0.5,19.8,9.0,46,57,40,40,40,50,1 Attack Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidorino,Nidorino,ニドリーノ,#033,100,0,Poison Pin Pokémon,Poison,,35,0.9,43.0,19.5,61,72,57,55,55,65,2 Attack Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidoking,Nidoking,ニドキング,#034,100,0,Drill Pokémon,Poison,Ground,55,1.4,136.7,62.0,81,102,77,85,75,85,3 Attack Point(s),1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Clefairy,Pippi,ピッピ,#035,9,1,Fairy Pokémon,Fairy,,24,0.6,16.5,7.5,70,45,48,60,65,35,2 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
Clefable,Pixy,ピクシー,#036,9,1,Fairy Pokémon,Fairy,,51,1.3,88.2,40.0,95,70,73,95,90,60,3 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
Vulpix,Rokon,ロコン,#037,9,1,Fox Pokémon,Fire,Ice,24,0.6,21.8,9.9,38,41,40,50,65,65,1 Speed Point(s)Alola Form1 Speed Point(s),1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
Ninetales,Kyukon,キュウコン,#038,9,1,Fox Pokémon,Fire,Ice,43,1.1,43.9,19.9,73,76,75,81,100,100,1 Speed Point(s)1 Sp. Defense Point(s)Alola Form2 Speed Point(s),1.0,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,0.5,4.0,1.0
Jigglypuff,Purin,プリン,#039,9,1,Balloon Pokémon,Normal,Fairy,20,0.5,12.1,5.5,115,45,20,45,25,20,2 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
Wigglytuff,Pukurin,プクリン,#040,9,1,Balloon Pokémon,Normal,Fairy,39,1.0,26.5,12.0,140,70,45,85,50,45,3 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
Zubat,Zubat,ズバット,#041,2,8,Bat Pokémon,Poison,Flying,31,0.8,16.5,7.5,40,45,35,30,40,55,1 Speed Point(s),1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
Golbat,Golbat,ゴルバット,#042,2,8,Bat Pokémon,Poison,Flying,63,1.6,121.3,55.0,75,80,70,65,75,90,2 Speed Point(s),1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
Oddish,Nazonokusa,ナゾノクサ,#043,2,8,Weed Pokémon,Grass,Poison,20,0.5,11.9,5.4,45,50,55,75,65,30,1 Sp. Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Gloom,Kusaihana,クサイハナ,#044,2,8,Weed Pokémon,Grass,Poison,31,0.8,19.0,8.6,60,65,70,85,75,40,2 Sp. Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Vileplume,Ruffresia,ラフレシア,#045,2,8,Flower Pokémon,Grass,Poison,47,1.2,41.0,18.6,75,80,85,110,90,50,3 Sp. Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Paras,Paras,パラス,#046,2,8,Mushroom Pokémon,Bug,Grass,12,0.3,11.9,5.4,35,70,55,45,55,25,1 Attack Point(s),1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
Parasect,Parasect,パラセクト,#047,2,8,Mushroom Pokémon,Bug,Grass,39,1.0,65.0,29.5,60,95,80,60,80,30,2 Attack Point(s)1 Defense Point(s),1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
Venonat,Kongpang,コンパン,#048,2,8,Insect Pokémon,Bug,Poison,39,1.0,66.1,30.0,60,55,50,40,55,45,1 Sp. Defense Point(s),1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Venomoth,Morphon,モルフォン,#049,2,8,Poison Moth Pokémon,Bug,Poison,59,1.5,27.6,12.5,70,65,60,90,75,90,1 Speed Point(s)1 Sp. Attack Point(s),1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Diglett,Digda,ディグダ,#050,2,8,Mole Pokémon,Ground,Ground,8,0.2,1.8,0.8,10,55,25,35,45,95,1 Speed Point(s)Alola Form1 Speed Point(s),0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
Dugtrio,Dugtrio,ダグトリオ,#051,2,8,Mole Pokémon,Ground,Ground,28,0.7,73.4,33.3,35,100,50,50,70,120,2 Speed Point(s)Alola Form2 Attack Point(s),0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
Meowth,Nyarth,ニャース,#052,2,8,Scratch Cat Pokémon,Normal,Dark,16,0.4,9.3,4.2,40,45,35,40,40,90,1 Speed Point(s)Alola Form1 Speed Point(s)Galarian Form1 Attack Point(s),0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
Persian,Persian,ペルシアン,#053,2,8,Classy Cat Pokémon,Normal,Dark,39,1.0,70.5,32.0,65,70,60,65,65,115,2 Speed Point(s)Alola Form2 Speed Point(s),1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Psyduck,Koduck,コダック,#054,2,8,Duck Pokémon,Water,,31,0.8,43.2,19.6,50,52,48,65,50,55,1 Sp. Attack Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Golduck,Golduck,ゴルダック,#055,2,8,Duck Pokémon,Water,,67,1.7,168.9,76.6,80,82,78,95,80,85,2 Sp. Attack Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Mankey,Mankey,マンキー,#056,2,8,Pig Monkey Pokémon,Fighting,,20,0.5,61.7,28.0,40,80,35,35,45,70,1 Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Primeape,Okorizaru,オコリザル,#057,2,8,Pig Monkey Pokémon,Fighting,,39,1.0,70.5,32.0,65,105,60,60,70,95,2 Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Growlithe,Gardie,ガーディ,#058,49,51,Puppy Pokémon (Kantonian)Scout Pokémon (Hisuian),Fire,Fire,28,0.7,41.9,19.0,55,70,45,70,50,60,1 Attack Point(s),0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Arcanine,Windie,ウインディ,#059,49,51,Legendary Pokémon,Fire,Fire,75,1.9,341.7,155.0,90,110,80,100,80,95,2 Attack Point(s),0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Poliwag,Nyoromo,ニョロモ,#060,2,8,Tadpole Pokémon,Water,,24,0.6,27.3,12.4,40,50,40,40,40,90,1 Speed Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Poliwhirl,Nyorozo,ニョロゾ,#061,2,8,Tadpole Pokémon,Water,,39,1.0,44.1,20.0,65,65,65,50,50,90,2 Speed Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Poliwrath,Nyorobon,ニョロボン,#062,2,8,Tadpole Pokémon,Water,Fighting,51,1.3,119.0,54.0,90,95,95,70,90,70,3 Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
Abra,Casey,ケーシィ,#063,49,51,Psi Pokémon,Psychic,,35,0.9,43.0,19.5,25,20,15,105,55,90,1 Sp. Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Kadabra,Yungerer,ユンゲラー,#064,49,51,Psi Pokémon,Psychic,,51,1.3,124.6,56.5,40,35,30,120,70,105,2 Sp. Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Alakazam,Foodin,フーディン,#065,49,51,Psi Pokémon,Psychic,,59,1.5,105.8,48.0,55,50,45,135,95,120,3 Sp. Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Machop,Wanriky,ワンリキー,#066,49,51,Superpower Pokémon,Fighting,,31,0.8,43.0,19.5,70,80,50,35,35,35,1 Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Machoke,Goriky,ゴーリキー,#067,49,51,Superpower Pokémon,Fighting,,59,1.5,155.4,70.5,80,100,70,50,60,45,2 Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Machamp,Kairiky,カイリキー,#068,49,51,Superpower Pokémon,Fighting,,63,1.6,286.6,130.0,90,130,80,65,85,55,3 Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Bellsprout,Madatsubomi,マダツボミ,#069,2,8,Flower Pokémon,Grass,Poison,28,0.7,8.8,4.0,50,75,35,70,30,40,1 Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Weepinbell,Utsudon,ウツドン,#070,2,8,Flycatcher Pokémon,Grass,Poison,39,1.0,14.1,6.4,65,90,50,85,45,55,2 Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Victreebel,Utsubot,ウツボット,#071,2,8,Flycatcher Pokémon,Grass,Poison,67,1.7,34.2,15.5,80,105,65,100,70,70,3 Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Tentacool,Menokurage,メノクラゲ,#072,2,8,Jellyfish Pokémon,Water,Poison,35,0.9,100.3,45.5,40,40,35,50,100,70,1 Sp. Defense Point(s),1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Tentacruel,Dokukurage,ドククラゲ,#073,2,8,Jellyfish Pokémon,Water,Poison,63,1.6,121.3,55.0,80,70,65,80,120,100,2 Sp. Defense Point(s),1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Geodude,Isitsubute,イシツブテ,#074,2,8,Rock Pokémon,Rock,Ground,16,0.4,44.1,20.0,40,80,100,30,30,20,1 Defense Point(s),0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
Graveler,Golone,ゴローン,#075,2,8,Rock Pokémon,Rock,Ground,39,1.0,231.5,105.0,55,95,115,45,45,35,2 Defense Point(s),0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
Golem,Golonya,ゴローニャ,#076,2,8,Megaton Pokémon,Rock,Ground,55,1.4,661.4,300.0,80,120,130,55,65,45,3 Defense Point(s),0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
Ponyta,Ponyta,ポニータ,#077,2,8,Fire Horse Pokémon (Kantonian)Unique Horn Pokémon (Galarian),Fire,Psychic,39,1.0,66.1,30.0,50,85,55,65,65,90,1 Speed Point(s)Galarian Form1 Speed Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Rapidash,Gallop,ギャロップ,#078,2,8,Fire Horse Pokémon (Kantonian)Unique Horn Pokémon (Galarian),Fire,Psychic,67,1.7,209.4,95.0,65,100,70,80,80,105,2 Speed Point(s)Galarian Form2 Speed Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
Slowpoke,Yadon,ヤドン,#079,2,8,Dopey Pokémon,Water,Psychic,47,1.2,79.4,36.0,90,65,65,40,40,15,1 HP Point(s)Galarian Form1 HP Point(s),1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Slowbro,Yadoran,ヤドラン,#080,2,8,Hermit Crab Pokémon,Water,Psychic,63,1.6,173.1,78.5,95,75,110,100,80,30,2 Defense Point(s)Galarian Form2 Attack Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5
Magnemite,Coil,コイル,#081,,,Magnet Pokémon,Electric,Steel,12,0.3,13.2,6.0,25,35,70,95,55,45,1 Sp. Attack Point(s),0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
Magneton,Rarecoil,レアコイル,#082,,,Magnet Pokémon,Electric,Steel,39,1.0,132.3,60.0,50,60,95,120,70,70,2 Sp. Attack Point(s),0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
Farfetch'd,Kamonegi,カモネギ,#083,2,8,Wild Duck Pokémon,Normal,Flying,31,0.8,33.1,15.0,52,90,55,58,62,60,1 Attack Point(s)Galarian Form1 Attack Point(s),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Doduo,Dodo,ドードー,#084,2,8,Twin Bird Pokémon,Normal,Flying,55,1.4,86.4,39.2,35,85,45,35,35,75,1 Attack Point(s),1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Dodrio,Dodorio,ドードリオ,#085,2,8,Triple Bird Pokémon,Normal,Flying,71,1.8,187.8,85.2,60,110,70,60,60,110,2 Attack Point(s),1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Seel,Pawou,パウワウ,#086,2,8,Sea Lion Pokémon,Water,,43,1.1,198.4,90.0,65,45,55,45,70,45,1 Sp. Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Dewgong,Jugon,ジュゴン,#087,2,8,Sea Lion Pokémon,Water,Ice,67,1.7,264.6,120.0,90,70,80,70,95,70,2 Sp. Defense Point(s),1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
